Key	Korean	English
VisionTool.ParameterGuide.Matching.Pattern.Impact	대상만 포함한 고유한 템플릿은 안정성을 높입니다. 배경이나 반복 무늬가 많으면 잘못된 위치가 높은 점수를 받을 수 있습니다.	A distinctive target-only template improves stability. Background or repeated texture can give a wrong location a high score.
VisionTool.ParameterGuide.Matching.Pattern.Check	미리보기에서 박스와 중심이 동일한 물리 특징에 놓이는지 확인하고 대표 이미지에서도 반복 검증하세요.	In Preview, verify the box and center land on the same physical feature, then replay representative images.
VisionTool.ParameterGuide.Matching.Mode.Summary	템플릿과 검색 영역의 밝기 유사도를 계산하는 방식을 선택합니다.	Selects how intensity similarity is calculated between the template and search image.
VisionTool.ParameterGuide.Matching.Mode.Impact	정규화 방식은 전체 밝기 변화에 상대적으로 강하지만 모든 조명 변화나 물리적 동일성을 보장하지 않습니다.	Normalized modes are less sensitive to global brightness changes, but do not guarantee robustness to all lighting changes or physical identity.
VisionTool.ParameterGuide.Matching.Mode.Check	같은 ROI와 템플릿으로 대표 OK/NG의 점수 분포와 실제 검출 위치를 비교하세요.	With the same ROI and template, compare representative OK/NG score distributions and actual detected positions.
VisionTool.ParameterGuide.Matching.ScoreMin.Summary	후보를 매칭 결과로 인정할 최소 정규화 점수입니다.	The minimum normalized score required to accept a candidate as a match.
VisionTool.ParameterGuide.Matching.ScoreMin.Impact	높이면 약한 후보와 오검출이 줄 수 있지만 저대비·변형 대상은 미검출될 수 있습니다. 낮추면 더 많은 약한 후보를 허용합니다.	Raising it can reject weak false matches but may miss low-contrast or changed targets. Lowering it admits more weak candidates.
VisionTool.ParameterGuide.Matching.ScoreMin.Check	ScoreMax만 보지 말고 결과 위치·박스·ResultCount와 경쟁 후보 점수 차이를 함께 확인하세요.	Do not review ScoreMax alone; check result position, box, ResultCount, and the gap to competing candidates.
VisionTool.ParameterGuide.Matching.MatchCount.Summary	한 번의 실행에서 유지할 최대 매칭 결과 수입니다.	The maximum number of matching results retained in one execution.
VisionTool.ParameterGuide.Matching.MatchCount.Impact	늘리면 여러 대상을 찾을 수 있지만 반복 무늬와 약한 후보도 결과에 포함될 수 있습니다. 1은 최상위 한 후보만 사용합니다.	A larger count can find multiple targets but may include repeated patterns and weak candidates. One keeps only the top candidate.
VisionTool.ParameterGuide.Matching.MatchCount.Check	의도한 물체 수와 ResultCount, 각 결과 박스의 물리 위치를 확인하세요.	Check the intended object count against ResultCount and the physical position of every result box.
VisionTool.ParameterGuide.Matching.UseAngle.Summary	회전된 템플릿 후보를 함께 검색할지 결정합니다.	Controls whether rotated template candidates are searched.
VisionTool.ParameterGuide.Matching.UseAngle.Impact	켜면 회전 변동을 처리하지만 각도 범위와 간격만큼 시간이 늘고 경쟁 후보가 많아질 수 있습니다.	Enabling covers rotation variation but increases runtime and competing candidates according to the angle range and step.
VisionTool.ParameterGuide.Matching.UseAngle.Check	검출 각도와 박스 방향, 처리 시간을 확인하고 생산에서 필요한 범위만 유지하세요.	Check detected angle, box orientation, and runtime, then keep only the range required by production variation.
VisionTool.ParameterGuide.Matching.AngleRange.Summary	매칭에서 검색할 최소·최대 회전 각도 범위입니다.	The minimum and maximum rotation angle range searched by matching.
VisionTool.ParameterGuide.Matching.AngleRange.Impact	범위를 넓히면 더 큰 회전을 찾지만 처리 시간과 잘못된 후보 기회가 늘어납니다. 좁히면 빠르지만 범위 밖 대상을 놓칩니다.	A wider range covers more rotation but increases runtime and opportunities for wrong candidates. A narrow range is faster but misses targets outside it.
VisionTool.ParameterGuide.Matching.AngleRange.Check	대표 이미지의 실제 자세 범위, 검출 각도, ScoreMax와 경과 시간을 함께 확인하세요.	Check representative pose variation, detected angle, ScoreMax, and elapsed time together.
VisionTool.ParameterGuide.Matching.AngleStep.Summary	각도 탐색에서 이웃 회전 후보 사이의 간격입니다.	The interval between neighboring rotation candidates in angle search.
VisionTool.ParameterGuide.Matching.AngleStep.Impact	작게 하면 더 세밀하지만 느려집니다. 크게 하면 빠르지만 최적 자세 사이를 건너뛰어 점수가 낮거나 미검출될 수 있습니다.	A smaller step is finer but slower. A larger step is faster but can skip the best pose, lowering score or causing a miss.
VisionTool.ParameterGuide.Matching.AngleStep.Check	검출 각도와 박스 정렬, 처리 시간을 비교하고 더 작은 간격이 실제 결과를 개선하는지 확인하세요.	Compare detected angle, box alignment, and runtime, and verify that a smaller step actually improves the result.
VisionTool.ParameterGuide.Matching.UseScale.Summary	템플릿보다 작거나 큰 대상 크기를 함께 검색할지 결정합니다.	Controls whether targets smaller or larger than the taught template are searched.
VisionTool.ParameterGuide.Matching.UseScale.Impact	켜면 크기 변동을 처리하지만 범위와 간격에 따라 느려지고 유사 후보가 늘 수 있습니다.	Enabling covers size variation but can be slower and admit more similar candidates according to range and step.
VisionTool.ParameterGuide.Matching.UseScale.Check	검출 배율, 결과 박스 크기, ScoreMax와 처리 시간을 확인하세요.	Check detected scale, result-box size, ScoreMax, and runtime.
VisionTool.ParameterGuide.Matching.ScaleRange.Summary	원본 템플릿 크기 1.0을 기준으로 검색할 최소·최대 배율입니다.	The minimum and maximum searched scale relative to the original template size of 1.0.
VisionTool.ParameterGuide.Matching.ScaleRange.Impact	범위를 넓히면 크기 변동을 더 많이 처리하지만 느려지고 잘못된 크기 후보가 늘 수 있습니다.	A wider range covers more size variation but is slower and can add wrong-size candidates.
VisionTool.ParameterGuide.Matching.ScaleRange.Check	실제 생산 크기 변동 안에서만 범위를 정하고 검출 배율과 박스가 물리 대상과 맞는지 확인하세요.	Keep the range within real production size variation and verify detected scale and box match the physical target.
VisionTool.ParameterGuide.Matching.ScaleStep.Summary	배율 검색에서 이웃 크기 후보 사이의 간격입니다.	The interval between neighboring size candidates in scale search.
VisionTool.ParameterGuide.Matching.ScaleStep.Impact	작게 하면 더 세밀하지만 느려집니다. 크게 하면 빠르지만 최적 크기 사이를 건너뛸 수 있습니다.	A smaller step is finer but slower. A larger step is faster but can skip the best target size.
VisionTool.ParameterGuide.Matching.ScaleStep.Check	검출 배율, 박스 크기, ScoreMax와 처리 시간을 비교하세요.	Compare detected scale, box size, ScoreMax, and runtime.
VisionTool.ParameterGuide.Matching.UseCanny.Summary	밝기 영상 대신 Canny 엣지 영상으로 템플릿 매칭할지 결정합니다.	Controls whether template matching uses a Canny edge image instead of intensity.
VisionTool.ParameterGuide.Matching.UseCanny.Impact	형상 경계가 안정적일 때 유용할 수 있지만 약한 엣지가 끊기거나 배경 엣지가 많으면 불안정해질 수 있습니다.	It can help when shape boundaries are stable, but weak broken edges or cluttered background edges can make matching unstable.
VisionTool.ParameterGuide.Matching.UseCanny.Check	템플릿과 입력의 엣지가 같은 물리 경계를 유지하는지와 최종 박스 위치를 확인하세요.	Check that template and input edges retain the same physical boundary and verify the final box position.
VisionTool.ParameterGuide.Matching.CannyRange.Summary	Canny 전처리에서 약한 엣지와 강한 엣지를 구분하는 Low/High 범위입니다.	The Canny Low/High range separating weak and strong edges during preprocessing.
VisionTool.ParameterGuide.Matching.CannyRange.Impact	올리면 약한 노이즈 엣지가 줄지만 대상 경계가 끊길 수 있습니다. 내리면 약한 경계를 살리지만 배경 엣지가 늘 수 있습니다.	Raising suppresses weak noisy edges but can break the target boundary. Lowering retains weak boundaries but can add background edges.
VisionTool.ParameterGuide.Matching.CannyRange.Check	엣지 영상에서 대상 윤곽의 연속성과 배경 노이즈를 확인한 뒤 매칭 위치와 점수를 비교하세요.	Check target-outline continuity and background noise in the edge image, then compare match position and score.
VisionTool.ParameterGuide.Matching.Magnification.Summary	소스와 각 배율 템플릿의 가로·세로 크기를 이 값으로 나눠 1차 검색하는 작업 해상도 나눗수입니다. 대상 크기 변화 범위가 아니며 내부 이름 MAGNIFIATION은 Recipe/XML 호환을 위해 유지됩니다.	The working-resolution divisor used to downsample both the source and every scaled template for the first search. It is not the target-size variation range; the legacy MAGNIFIATION name is retained for Recipe/XML compatibility.
VisionTool.ParameterGuide.Matching.Magnification.Impact	1보다 크게 하면 1차 검색 픽셀이 줄어 빨라질 수 있지만 작은 특징과 정확한 위치가 손실될 수 있으며, 이후 원본 주변 재검증이 수행됩니다. 1은 원본 작업 해상도를 유지합니다.	Values above 1 reduce first-pass pixels and can improve speed, but may lose small features and precise position; a neighborhood is then refined near the coarse result at the original image. A value of 1 keeps the original working resolution.
VisionTool.ParameterGuide.Matching.Magnification.BestWhen	큰 이미지에서 대상 특징이 축소 후에도 충분히 남고, 실제 샘플로 속도와 위치 정밀도를 함께 검증할 때만 1보다 큰 값을 사용하세요.	Use a value above 1 only on large images where the target feature remains visible after downsampling and actual samples verify both speed and position precision.
VisionTool.ParameterGuide.Matching.Magnification.Risk	0 이하는 실행 전 실패합니다. 지나치게 크면 작업 이미지나 템플릿이 비거나 작은 특징이 사라져 미검출·위치 오차가 생길 수 있습니다. Scale search의 최소/최대 배율과 혼동하지 마세요.	Zero or negative values fail before execution. An excessive divisor can empty the working image/template or erase small features, causing misses or position error. Do not confuse it with the minimum/maximum target scale search.
VisionTool.ParameterGuide.Matching.Magnification.Check	같은 대표 OK/NG에서 ResultCount, ScoreMax, 박스·중심 위치와 Tact를 1 기준값과 비교하고 작은 특징이 유지되는지 확대해 확인하세요.	On the same representative OK/NG samples, compare ResultCount, ScoreMax, box/center position, and Tact against the value-1 baseline, and zoom in to verify small features remain.
VisionTool.ParameterGuide.Matching.UseCoarseAngle.Summary	전체 각도 범위를 큰 간격으로 먼저 검사한 뒤 상위 각도 후보 주변만 Angle step으로 정밀 재검사하는 선택적 속도 옵션입니다.	An opt-in speed option that first scans the full angle range at a larger interval, then rechecks only neighborhoods around the best angle candidates using Angle step.
VisionTool.ParameterGuide.Matching.UseCoarseAngle.Impact	넓은 범위와 작은 Angle step에서 후보 수와 시간을 줄일 수 있습니다. 끄면 기존 exhaustive 각도 탐색을 유지합니다. 각도 탐색이 꺼져 있으면 적용되지 않습니다.	It can reduce candidate count and time for a wide range with a fine Angle step. Off preserves the existing exhaustive angle search. It has no effect when angle search is off.
VisionTool.ParameterGuide.Matching.UseCoarseAngle.BestWhen	실제 회전 범위가 넓어 exhaustive 탐색이 느리고, 상위 coarse 후보 주변에 진짜 자세가 남는지 대표 샘플로 검증할 때 사용하세요.	Use when the real rotation range is wide, exhaustive search is slow, and representative samples verify that the true pose survives among the top coarse candidates.
VisionTool.ParameterGuide.Matching.UseCoarseAngle.Risk	반복 무늬나 좁은 점수 봉우리에서는 coarse 단계가 진짜 각도를 상위 후보에서 제외해 점수 저하 또는 미검출을 만들 수 있습니다.	Repeated texture or a narrow score peak can cause the coarse pass to exclude the true angle from the finalists, lowering score or causing a miss.
VisionTool.ParameterGuide.Matching.UseCoarseAngle.Check	동일 샘플에서 켜기 전후 검출 각도, 회전 박스, ScoreMax, ResultCount와 Tact를 비교하고 NG 오검출도 확인하세요.	On the same samples, compare detected angle, rotated box, ScoreMax, ResultCount, and Tact before and after enabling, and also inspect NG false matches.
VisionTool.ParameterGuide.Matching.CoarseAngleStep.Summary	coarse 1차 탐색에서 이웃 각도 사이의 간격입니다. 실제 값은 Angle step보다 작아지지 않으며 두 옵션이 켜졌을 때만 사용됩니다.	The interval between neighboring angles in the coarse first pass. The runtime never uses a value finer than Angle step, and it is used only when both angle and coarse search are enabled.
VisionTool.ParameterGuide.Matching.CoarseAngleStep.Impact	크게 하면 1차 후보 수가 줄어 빨라질 수 있지만 진짜 점수 봉우리를 건너뛸 위험이 커집니다. 작게 하면 exhaustive 탐색에 가까워져 안전 여지는 늘지만 속도 이점이 줄어듭니다.	A larger value reduces first-pass candidates and can be faster but increases the chance of skipping the true score peak. A smaller value approaches exhaustive search, adding safety margin but reducing the speed benefit.
VisionTool.ParameterGuide.Matching.CoarseAngleStep.BestWhen	대상의 각도별 점수 변화가 완만하고, 선택한 간격의 절반 이내에서 fine 재탐색이 진짜 각도를 회복한다는 샘플 근거가 있을 때 사용하세요.	Use when the score changes smoothly with angle and sample evidence shows fine refinement recovers the true angle within half the chosen interval.
VisionTool.ParameterGuide.Matching.CoarseAngleStep.Risk	0 이하는 활성 상태에서 실행 실패합니다. Angle step 이하로 설정하면 coarse-to-fine 경로가 사용되지 않아 기대한 속도 개선이 없습니다.	Zero or negative values fail while active. If it is not greater than Angle step, the coarse-to-fine path is not used, so the expected speed benefit is absent.
VisionTool.ParameterGuide.Matching.CoarseAngleStep.Check	검출 각도와 박스 정렬이 exhaustive 기준과 같은지, Tact와 결과 수가 실제로 개선되는지 대표 OK/NG에서 비교하세요.	On representative OK/NG samples, compare detected angle and box alignment with the exhaustive baseline and verify Tact and result count actually improve.
VisionTool.ParameterGuide.Matching.CoarseAngleTopK.Summary	coarse 1차 탐색 점수가 높은 각도 중 fine Angle step으로 다시 검사할 후보 개수입니다.	The number of highest-scoring coarse angles whose neighborhoods are rechecked using the fine Angle step.
VisionTool.ParameterGuide.Matching.CoarseAngleTopK.Impact	늘리면 진짜 각도를 유지할 가능성이 높아지지만 정밀 재검사 수와 시간이 늘어납니다. 줄이면 빠르지만 잘못된 반복 무늬 후보만 남을 수 있습니다.	Increasing it raises the chance of retaining the true angle but adds fine-search work and time. Reducing it is faster but may retain only a wrong repeated-pattern candidate.
VisionTool.ParameterGuide.Matching.CoarseAngleTopK.BestWhen	coarse 점수 상위권에 유사 후보가 여러 개 존재해 Top 1만으로는 불안정하지만 전체 exhaustive 탐색은 과도하게 느릴 때 조정하세요.	Adjust when several similar candidates occupy the top coarse scores, Top 1 is unstable, and a full exhaustive search is too slow.
VisionTool.ParameterGuide.Matching.CoarseAngleTopK.Risk	0 이하는 활성 상태에서 실행 실패합니다. 너무 작으면 진짜 각도를 버리고, 너무 크면 속도 이점이 사라질 수 있습니다.	Zero or negative values fail while active. Too small can discard the true angle; too large can erase the speed benefit.
VisionTool.ParameterGuide.Matching.CoarseAngleTopK.Check	상위 K를 바꿀 때 검출 각도·ScoreMax·박스와 Tact가 안정되는 최소값을 대표 OK/NG에서 찾고 고정하세요.	Across representative OK/NG samples, find and freeze the smallest K that stabilizes detected angle, ScoreMax, box, and Tact.
VisionTool.ParameterGuide.Matching.UsePyramidPositionProposal.Summary	작은 이미지에서 위치 후보를 먼저 찾고 원래 작업 해상도에서 후보 주변을 검증하는 선택적 속도 옵션입니다. 후보가 없거나 검증에 실패하면 기존 전체 검색으로 되돌아갑니다.	An opt-in speed option that proposes locations on a smaller image and verifies their neighborhoods at the original working resolution. It falls back to the existing full search when no proposal survives or verification fails.
VisionTool.ParameterGuide.Matching.UsePyramidPositionProposal.Impact	각도 탐색이 꺼진 경우에만 실행 경로가 사용됩니다. 특히 여러 Scale 후보의 전체 위치 탐색을 줄일 수 있지만, 각도 탐색이 켜져 있으면 설정을 유지한 채 전체 검색으로 fallback합니다.	The proposal path runs only when angle search is off. It can reduce full-position searches across multiple scale candidates, but with angle search on the setting is retained while execution falls back to full search.
VisionTool.ParameterGuide.Matching.UsePyramidPositionProposal.BestWhen	각도 변동이 없고 Scale search 또는 큰 검색 ROI 때문에 위치 탐색이 느리며, 작은 영상에서도 대상 위치가 구별될 때 사용하세요.	Use when rotation does not vary, scale search or a large search ROI makes position search slow, and the target location remains distinctive in the smaller image.
VisionTool.ParameterGuide.Matching.UsePyramidPositionProposal.Risk	축소 영상에서 작은 특징이나 유일성이 사라지면 후보가 약해져 전체 검색으로 돌아가 속도 이점이 없거나, 잘못된 후보 검증에 시간이 들 수 있습니다.	If downsampling removes small features or uniqueness, proposals may be too weak and fall back with no speed gain, or time may be spent verifying wrong candidates.
VisionTool.ParameterGuide.Matching.UsePyramidPositionProposal.Check	동일 샘플에서 Pyramid 표시 상태, 검출 Scale·박스·ScoreMax·ResultCount와 Tact를 전체 검색 기준과 비교하세요.	On the same samples, compare Pyramid status, detected scale, box, ScoreMax, ResultCount, and Tact against the full-search baseline.
VisionTool.ParameterGuide.Matching.PyramidPositionTopN.Summary	각 Scale마다 축소 영상에서 뽑아 원본 해상도 검증으로 넘길 위치 후보의 최대 개수입니다.	The maximum number of positions proposed from the reduced image per scale and sent to original-resolution verification.
VisionTool.ParameterGuide.Matching.PyramidPositionTopN.Impact	늘리면 진짜 위치를 포함할 가능성이 높아지지만 원본 검증 수와 시간이 늘어납니다. 줄이면 빠르지만 반복 무늬나 약한 대상에서 진짜 위치를 제외할 수 있습니다.	Increasing it raises the chance of including the true location but adds original-resolution verification work and time. Reducing it is faster but can exclude the true location with repeated texture or a weak target.
VisionTool.ParameterGuide.Matching.PyramidPositionTopN.BestWhen	축소 영상에서 경쟁 위치가 여러 개일 때, 전체 검색과 같은 물리 위치를 유지하는 최소 후보 수를 대표 샘플로 찾으세요.	When the reduced image has several competing locations, use representative samples to find the smallest candidate count that preserves the same physical location as full search.
VisionTool.ParameterGuide.Matching.PyramidPositionTopN.Risk	0 이하면 proposal 경로가 비활성화되어 전체 검색으로 동작합니다. 지나치게 크면 속도 이점이 줄고 유사 위치 검증이 늘어납니다.	At zero or below, the proposal path is disabled and execution uses full search. An excessive value reduces the speed benefit and verifies more similar locations.
VisionTool.ParameterGuide.Matching.PyramidPositionTopN.Check	후보 수별 검출 위치·Scale·ScoreMax·Tact를 비교하고 대표 NG에서 경쟁 위치가 결과로 승격되지 않는지 확인하세요.	Compare location, scale, ScoreMax, and Tact across candidate counts, and verify competing locations are not promoted on representative NG samples.
VisionTool.ParameterGuide.Matching.PyramidPositionMinScore.Summary	축소 영상의 위치 후보를 원본 검증으로 넘기기 위한 0..1 최소 품질 점수입니다. 최종 매칭 SCORE_MIN과 별도의 1차 제안 문턱입니다.	The 0..1 minimum quality score required to send a reduced-image position proposal to original-resolution verification. It is a first-pass proposal gate separate from the final matching SCORE_MIN.
VisionTool.ParameterGuide.Matching.PyramidPositionMinScore.Impact	높이면 약한 위치 제안이 줄지만 진짜 대상도 후보에서 빠져 전체 검색 fallback이 늘 수 있습니다. 낮추면 더 많은 위치를 검증해 안정 여지는 늘지만 시간이 증가할 수 있습니다.	Raising it removes weak proposals but may also omit the true target and increase full-search fallbacks. Lowering sends more positions to verification, adding safety margin but potentially increasing time.
VisionTool.ParameterGuide.Matching.PyramidPositionMinScore.BestWhen	축소 영상의 진짜 위치 점수와 반복 무늬·배경 위치 점수가 대표 샘플에서 분리될 때 그 사이 값으로 고정하세요.	Freeze it between the true-location and repeated-pattern/background proposal score distributions observed on representative samples.
VisionTool.ParameterGuide.Matching.PyramidPositionMinScore.Risk	범위 밖 값은 런타임에서 0..1로 제한됩니다. 너무 높으면 proposal이 사라져 전체 검색으로 돌아가고, 너무 낮으면 약한 후보 검증이 늘어 속도가 나빠질 수 있습니다.	Runtime clamps out-of-range values to 0..1. Too high can remove all proposals and fall back to full search; too low can verify many weak candidates and reduce performance.
VisionTool.ParameterGuide.Matching.PyramidPositionMinScore.Check	최종 ScoreMax와 혼동하지 말고 proposal 사용/fallback 여부, 최종 물리 위치, ResultCount와 Tact를 함께 비교하세요.	Do not confuse it with final ScoreMax; compare proposal use/fallback, final physical location, ResultCount, and Tact together.
VisionTool.ParameterGuide.Matching.UseWhitePadding.Summary	회전 템플릿의 바깥 픽셀을 상수 흰색 255로 채울지 결정합니다. 끄면 검은색이 아니라 템플릿 가장자리를 반사한 Border Reflect를 사용합니다.	Controls whether pixels outside a rotated template are filled with constant white 255. Off uses reflected template borders, not black padding.
VisionTool.ParameterGuide.Matching.UseWhitePadding.Impact	흰 배경 대상에서는 회전 모서리의 인공 경계를 줄일 수 있지만 어두운 배경에서는 큰 흰 삼각형이 점수에 영향을 줄 수 있습니다. Reflect는 가장자리 무늬를 복제해 다른 인공 패턴을 만들 수 있습니다.	On a white-background target, white padding can reduce artificial rotation corners, but on a dark background large white triangles can affect the score. Reflect can duplicate edge texture and create a different artificial pattern.
VisionTool.ParameterGuide.Matching.UseWhitePadding.BestWhen	실제 대상 주변 배경이 흰색에 가깝고 회전 템플릿 모서리 영향이 반복 검출 위치나 점수에 나타날 때 비교 검증하세요.	Compare it when the real background around the target is close to white and rotated-template corners visibly affect repeated detection position or score.
VisionTool.ParameterGuide.Matching.UseWhitePadding.Risk	배경과 반대되는 패딩은 대상보다 모서리 대비를 더 강하게 만들어 점수·각도·위치를 왜곡할 수 있습니다. 한 장의 점수만 보고 선택하지 마세요.	Padding opposite to the real background can make corner contrast stronger than the target and distort score, angle, or position. Do not choose from one image score.
VisionTool.ParameterGuide.Matching.UseWhitePadding.Check	같은 회전 OK/NG에서 흰색과 Reflect를 각각 실행해 박스·각도·ScoreMax·ResultCount를 비교하고 모서리 쪽 오검출을 확대 확인하세요.	Run both white and Reflect on the same rotated OK/NG samples; compare box, angle, ScoreMax, and ResultCount, then zoom in on corner false matches.
VisionTool.ParameterGuide.EdgeMatching.ScoreMin.Summary	엣지 방향 점수를 결과로 인정할 최소값입니다.	The minimum edge-direction score required to accept a result.
VisionTool.ParameterGuide.EdgeMatching.ScoreMin.Impact	높이면 약하거나 형상이 다른 후보를 줄이지만 노이즈·가림이 있는 실제 대상도 놓칠 수 있습니다.	Raising rejects weak or shape-different candidates but can miss real targets with noise or occlusion.
VisionTool.ParameterGuide.EdgeMatching.ScoreMin.Check	엣지 박스와 중심, 실제 물리 특징, ScoreMax와 고유 매칭 상태를 함께 확인하세요.	Check the edge box and center, physical feature, ScoreMax, and unique-match state together.
VisionTool.ParameterGuide.EdgeMatching.UseUnique.Summary	공간적으로 구분되는 후보가 하나뿐일 때만 결과를 반환하도록 요구합니다.	Requires exactly one spatially distinct plausible candidate before returning a result.
VisionTool.ParameterGuide.EdgeMatching.UseUnique.Impact	켜면 점수가 비슷한 경쟁 후보를 Ambiguous로 거부하지만 올바른 물리 특징 자체를 보장하지는 않습니다.	Enabling rejects near-tied competitors as Ambiguous, but does not prove the physical feature itself is correct.
VisionTool.ParameterGuide.EdgeMatching.UseUnique.Check	UniqueMatch.State, 경쟁 후보 수, ScoreMargin과 모든 후보 드로잉을 확인하세요.	Check UniqueMatch.State, plausible-alternative count, ScoreMargin, and candidate drawings.
VisionTool.ParameterGuide.EdgeMatching.UniqueMargin.Summary	선택 후보와 가장 강한 공간 분리 경쟁 후보 사이에 요구할 최소 정규화 점수 차이입니다.	The minimum normalized score gap required between the selected candidate and strongest spatially distinct competitor.
VisionTool.ParameterGuide.EdgeMatching.UniqueMargin.Impact	높이면 더 많은 근접 후보를 Ambiguous로 거부합니다. 낮추면 통과가 쉬워지지만 반복 형상 오선택 위험이 커집니다.	Raising rejects more near-ties as Ambiguous. Lowering passes more cases but increases repeated-shape selection risk.
VisionTool.ParameterGuide.EdgeMatching.UniqueMargin.Check	고유 상태와 실제 경쟁 후보 위치를 확인하세요. 점수 차이만으로 물리적 동일성을 판단하지 마세요.	Check unique state and actual competitor locations. Do not infer physical identity from the score gap alone.
VisionTool.ParameterGuide.EdgeMatching.CannyRange.Summary	템플릿 엣지 모델과 입력 그래디언트에 사용할 Canny Low/High 범위입니다.	The Canny Low/High range used to build the template edge model and source gradients.
VisionTool.ParameterGuide.EdgeMatching.CannyRange.Impact	올리면 약한 노이즈를 줄이지만 템플릿 윤곽이 끊길 수 있습니다. 내리면 약한 형상을 유지하지만 잡음 엣지가 늘 수 있습니다.	Raising reduces weak noise but can break the template outline. Lowering retains weak shape detail but can add noisy edges.
VisionTool.ParameterGuide.EdgeMatching.CannyRange.Check	템플릿 윤곽의 연속성, 입력 엣지 박스와 중심, 최종 점수와 경쟁 후보를 확인하세요.	Check template-outline continuity, source edge box and center, final score, and competing candidates.
VisionTool.ParameterGuide.EdgeMatching.SearchStep.Summary	검색 이미지에서 엣지 모델 후보 위치를 평가하는 픽셀 간격입니다.	The pixel interval used to evaluate edge-model candidate positions in the search image.
VisionTool.ParameterGuide.EdgeMatching.SearchStep.Impact	작게 하면 더 촘촘하지만 느립니다. 크게 하면 빠르지만 위치 사이의 최적 후보를 건너뛸 수 있습니다.	A smaller step searches more densely but is slower. A larger step is faster but can skip the best position between samples.
VisionTool.ParameterGuide.EdgeMatching.SearchStep.Check	검출 중심 오차, ScoreMax, 위치 보정 상태와 처리 시간을 함께 비교하세요.	Compare center error, ScoreMax, position-refinement state, and runtime.
VisionTool.ParameterGuide.EdgeMatching.Pattern.Summary	엣지 방향 모델을 만들 등록 템플릿 이미지 경로입니다. 회전 ROI로 티칭한 템플릿은 0° 정방향 이미지로 저장됩니다.	The registered template image path used to build the directed-edge model. A template taught from a rotated ROI is saved upright at 0 degrees.
VisionTool.ParameterGuide.EdgeMatching.Pattern.Impact	템플릿 크롭이 매칭할 물리 특징과 모델 엣지를 결정합니다. 작고 고유한 안정 특징은 경쟁 후보를 줄이고, 반복 무늬·배경·잘린 특징은 오선택과 NoMatch를 늘립니다.	The crop defines both the physical feature and model edges. A compact, distinctive, stable feature reduces competitors; repetition, background, or clipping increases wrong selections and NoMatch.
VisionTool.ParameterGuide.EdgeMatching.Pattern.BestWhen	대표 이미지 전체에서 같은 물리 부품에 남는 비반복 윤곽을 고르고, 대상 밖 배경과 변하는 표면은 최소화하세요.	Choose a non-repeating outline that remains on the same physical part across representative images, with minimal changing surface or outside background.
VisionTool.ParameterGuide.EdgeMatching.Pattern.Risk	파일 이동은 Recipe 이식성을 깨뜨립니다. 높은 점수나 고유 점수 차이만으로 올바른 물리 특징을 찾았다고 판단할 수 없습니다.	Moving the file breaks Recipe portability. A high score or unique score margin alone does not prove that the correct physical feature was found.
VisionTool.ParameterGuide.EdgeMatching.Pattern.Check	템플릿 준비 상태, 모델 윤곽, 선택 중심·각도·배율, 가장 강한 경쟁 후보와 Good/Bad·N장 재현성을 확인하세요.	Check template readiness, model outline, selected center, angle, scale, strongest competitor, and Good/Bad plus N-sample repeatability.
VisionTool.ParameterGuide.EdgeMatching.PolarityReversal.Summary	한 후보의 모든 엣지 방향을 원본 그대로 또는 전체 반전 중 하나로만 비교하는 선택 옵션입니다.	An opt-in mode that compares each candidate with either all taught edge directions unchanged or all directions globally reversed.
VisionTool.ParameterGuide.EdgeMatching.PolarityReversal.Impact	켜면 전체 명암 반전 대상은 Reversed로 통과할 수 있지만 엣지별 극성을 독립적으로 무시하지 않습니다. 끄면 기존 Same-only 계약입니다.	On allows a globally contrast-reversed target to pass as Reversed, but never ignores polarity independently per edge. Off preserves the legacy Same-only contract.
VisionTool.ParameterGuide.EdgeMatching.PolarityReversal.Risk	국부 반전, 반사광, 다른 형상을 허용하는 범용 극성 무시 기능이 아닙니다. Same/Reversed 성공도 물리 특징 동일성을 보장하지 않습니다.	This is not a general polarity-ignore mode for local reversals, glare, or different shapes. Same or Reversed success still does not prove physical identity.
VisionTool.ParameterGuide.EdgeMatching.PolarityReversal.Check	결과의 Same/Reversed 상태, 선택 윤곽과 중심, 점수·고유성 게이트, 정상/전체 반전/국부 반전 샘플을 함께 확인하세요.	Check Same/Reversed state, selected outline and center, score and uniqueness gates, and normal, globally reversed, and locally reversed samples.
VisionTool.ParameterGuide.EdgeMatching.DrawResult.Summary	Library-Noah 결과 비트맵 생성의 제한적 표시 옵션입니다. 검출 점수·후보 선택·판정은 바꾸지 않습니다.	A limited display option for Library-Noah result-bitmap generation. It does not change scoring, candidate selection, or acceptance.
VisionTool.ParameterGuide.EdgeMatching.DrawResult.Impact	성공 후보가 있으면 꺼져 있어도 런타임과 현재 WPF가 매칭 증거를 유지합니다. 차이는 주로 후보가 없는 실행에서 결과 비트맵을 미리 만들지 여부입니다.	When a candidate succeeds, runtime and current WPF retain matching evidence even when Off. The practical difference is mainly whether a result bitmap is prepared for runs with no candidate.
VisionTool.ParameterGuide.EdgeMatching.DrawResult.Risk	성공 윤곽을 숨기는 성능 스위치로 사용하면 안 됩니다. 현재 WPF/Pipeline Review의 필수 증거 오버레이 계약과 별개입니다.	Do not treat this as a switch for hiding successful outlines. It is separate from the mandatory evidence-overlay contract in current WPF and Pipeline Review.
